Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches,League,Team,MP
Niccolò Pisilli,it ITA,MF,18.0,,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,1.0
Filippo Alessio,it ITA,FW,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Pietro Boer,it ITA,GK,21.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Luigi Cherubini,it ITA,FW,19.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Francesco D'Alessio,it ITA,MF,19.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Lovro Golič,si SVN,DF,17.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Renato Marin,it ITA,GK,17.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Jan Oliveras,es ESP,DF,19.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Roma,0.0
Antonio Candreva,it ITA,"MF,FW",36.0,,32,2750.0,30.6,6.0,6.0,12.0,5.0,1.0,1.0,5.0,0.0,4.9,4.1,5.0,9.1,67.0,149.0,182.0,0.2,0.2,0.39,0.16,0.36,0.16,0.16,0.32,0.13,0.3,Matches,Serie A,Salernitana,34.0
Domagoj Bradarić,hr CRO,DF,23.0,,30,2749.0,30.5,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.8,2.6,57.0,76.0,120.0,0.0,0.1,0.1,0.0,0.1,0.03,0.06,0.08,0.03,0.08,Matches,Serie A,Salernitana,34.0
Lassana Coulibaly,ml MLI,MF,27.0,,25,2082.0,23.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.8,1.4,29.0,88.0,38.0,0.0,0.04,0.04,0.0,0.04,0.03,0.04,0.06,0.03,0.06,Matches,Serie A,Salernitana,28.0
Lorenzo Pirola,it ITA,DF,21.0,,24,1987.0,22.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.0,0.9,13.0,57.0,7.0,0.05,0.0,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,Matches,Serie A,Salernitana,27.0
Loum Tchaouna,fr FRA,"FW,MF",19.0,,23,2100.0,23.3,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,2.6,2.6,1.5,4.1,72.0,59.0,151.0,0.17,0.13,0.3,0.17,0.3,0.11,0.06,0.18,0.11,0.18,Matches,Serie A,Salernitana,33.0
Guillermo Ochoa,mx MEX,GK,38.0,,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,21.0
Giulio Maggiore,it ITA,MF,25.0,,20,1800.0,20.0,4.0,2.0,6.0,4.0,0.0,0.0,9.0,1.0,2.3,2.3,1.1,3.4,8.0,64.0,25.0,0.2,0.1,0.3,0.2,0.3,0.11,0.06,0.17,0.11,0.17,Matches,Serie A,Salernitana,27.0
Norbert Gyömbér,sk SVK,DF,31.0,,20,1760.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.2,0.3,4.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Serie A,Salernitana,22.0
Grigoris Kastanos,cy CYP,"MF,DF",25.0,,18,1480.0,16.4,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,2.9,2.9,2.8,5.7,28.0,78.0,69.0,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35,Matches,Serie A,Salernitana,26.0
Pasquale Mazzocchi,it ITA,DF,28.0,,16,1272.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.3,1.6,36.0,36.0,62.0,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11,Matches,Serie A,Salernitana,18.0
Federico Fazio,ar ARG,DF,36.0,,15,1355.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.4,0.4,0.1,0.5,2.0,27.0,2.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,Matches,Serie A,Salernitana,17.0
Toma Bašić,hr CRO,MF,26.0,,14,1162.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.5,1.1,11.0,53.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,Serie A,Salernitana,15.0
Benoît Costil,fr FRA,GK,36.0,,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,13.0
Boulaye Dia,sn SEN,"FW,MF",26.0,,12,1143.0,12.7,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,3.9,3.1,0.5,3.6,18.0,22.0,57.0,0.31,0.0,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28,Matches,Serie A,Salernitana,17.0
Chukwubuikem Ikwuemesi,ng NGA,FW,21.0,,11,1061.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.4,2.4,0.7,3.1,11.0,10.0,70.0,0.08,0.08,0.17,0.08,0.17,0.21,0.06,0.26,0.21,0.26,Matches,Serie A,Salernitana,25.0
Matteo Lovato,it ITA,DF,23.0,,11,947.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Serie A,Salernitana,13.0
Niccolò Pierozzi,it ITA,DF,21.0,,11,871.0,9.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,0.0,0.3,3.0,16.0,20.0,0.1,0.0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,Matches,Serie A,Salernitana,12.0
Mateusz Łęgowski,pl POL,MF,20.0,,10,1145.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.2,0.5,16.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Serie A,Salernitana,29.0
Junior Sambia,fr FRA,"DF,MF",26.0,,10,1032.0,11.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.9,1.4,23.0,41.0,37.0,0.09,0.17,0.26,0.09,0.26,0.05,0.07,0.12,0.05,0.12,Matches,Serie A,Salernitana,18.0
Alessandro Zanoli,it ITA,DF,22.0,,10,921.0,10.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.8,1.9,27.0,28.0,45.0,0.0,0.2,0.2,0.0,0.2,0.02,0.17,0.19,0.02,0.19,Matches,Serie A,Salernitana,17.0
Flavius Daniliuc,at AUT,DF,22.0,,8,744.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.5,8.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,Serie A,Salernitana,14.0
Jovane Cabral,cv CPV,"MF,FW",25.0,,8,678.0,7.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,22.0,40.0,39.0,0.13,0.0,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21,Matches,Serie A,Salernitana,12.0
Emil Bohinen,no NOR,MF,24.0,,7,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,7.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Serie A,Salernitana,12.0
Agustín Martegani,ar ARG,MF,23.0,,6,731.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,14.0,28.0,22.0,0.12,0.0,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13,Matches,Serie A,Salernitana,18.0
Simeon Nwankwo,ng NGA,FW,31.0,,6,686.0,7.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.7,2.7,0.6,3.2,6.0,7.0,39.0,0.39,0.0,0.39,0.39,0.39,0.35,0.07,0.42,0.35,0.42,Matches,Serie A,Salernitana,15.0
Kostas Manolas,gr GRE,DF,32.0,,6,488.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches,Serie A,Salernitana,8.0
Marco Pellegrino,0,DF,0.0,,5,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Serie A,Salernitana,10.0
Shon Weissman,il ISR,"FW,DF",27.0,,5,494.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,0.0,4.0,22.0,0.18,0.0,0.18,0.18,0.18,0.19,0.02,0.21,0.19,0.21,Matches,Serie A,Salernitana,11.0
Triantafyllos Pasaridīs,gr GRE,DF,27.0,,5,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Serie A,Salernitana,8.0
Vincenzo Fiorillo,it ITA,GK,33.0,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,4.0
Erik Botheim,no NOR,"FW,MF",23.0,,4,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Serie A,Salernitana,7.0
Jérôme Boateng,de GER,DF,34.0,,4,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Serie A,Salernitana,7.0
Emanuel Vignato,it ITA,"MF,FW",22.0,,3,311.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.4,5.0,11.0,14.0,0.0,0.29,0.29,0.0,0.29,0.01,0.1,0.11,0.01,0.11,Matches,Serie A,Salernitana,9.0
Iron Gomis,fr FRA,MF,23.0,,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.7,3.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.38,0.11,0.49,0.38,0.49,Matches,Serie A,Salernitana,5.0
Trivante Stewart,jm JAM,"FW,MF",23.0,,0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.12,0.06,0.12,Matches,Serie A,Salernitana,4.0
Dylan Bronn,tn TUN,"DF,MF",28.0,,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Serie A,Salernitana,4.0
Andres Sfait,ro ROU,"DF,MF",18.0,,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,Serie A,Salernitana,2.0
Gerardo Fusco,it ITA,FW,18.0,,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,Serie A,Salernitana,1.0
Mamadou Coulibaly,sn SEN,DF,24.0,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,1.0
Pasquale Allocca,it ITA,GK,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Luca Boncori,it ITA,FW,17.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Rocco Di Vico,it ITA,MF,16.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Emanuele Elia,it ITA,DF,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Tommaso Ferrari,it ITA,DF,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Salvati Gregorio,it ITA,GK,18.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Niccolò Guccione,it ITA,DF,17.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Antonio Iervolino,it ITA,MF,20.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Andrei Motoc,ro ROU,MF,21.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Salernitana,0.0
Andrea Pinamonti,it ITA,FW,24.0,38.0,37,3076.0,34.2,11.0,1.0,12.0,9.0,2.0,3.0,4.0,0.0,8.9,6.6,1.9,8.4,17.0,45.0,165.0,0.32,0.03,0.35,0.26,0.29,0.26,0.05,0.32,0.19,0.25,Matches,Serie A,Sassuolo,
Andrea Consigli,it ITA,GK,36.0,35.0,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Armand Lauriente,fr FRA,FW,24.0,37.0,35,2908.0,32.3,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,5.7,5.7,4.0,9.7,125.0,99.0,268.0,0.15,0.12,0.28,0.15,0.28,0.18,0.12,0.3,0.18,0.3,Matches,Serie A,Sassuolo,
Martin Erlic,hr CRO,DF,25.0,32.0,31,2618.0,29.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,19.0,78.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches,Serie A,Sassuolo,
Kristian Thorstvedt,no NOR,MF,24.0,34.0,30,2397.0,26.6,6.0,1.0,7.0,6.0,0.0,0.0,7.0,0.0,4.4,4.4,1.6,5.9,30.0,130.0,94.0,0.23,0.04,0.26,0.23,0.26,0.16,0.06,0.22,0.16,0.22,Matches,Serie A,Sassuolo,
Matheus Henrique,br BRA,MF,25.0,31.0,27,2501.0,27.8,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,2.3,2.3,1.6,3.9,43.0,94.0,44.0,0.07,0.07,0.14,0.07,0.14,0.08,0.06,0.14,0.08,0.14,Matches,Serie A,Sassuolo,
Gian Marco Ferrari,it ITA,DF,31.0,31.0,25,2272.0,25.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,0.3,1.9,32.0,148.0,7.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,Matches,Serie A,Sassuolo,
Jeremy Toljan,de GER,DF,28.0,25.0,24,2083.0,23.1,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,2.1,35.0,79.0,85.0,0.0,0.22,0.22,0.0,0.22,0.02,0.07,0.09,0.02,0.09,Matches,Serie A,Sassuolo,
Daniel Boloca,ro ROU,MF,24.0,30.0,23,2022.0,22.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.5,0.5,0.4,0.9,27.0,109.0,17.0,0.04,0.0,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches,Serie A,Sassuolo,
Domenico Berardi,it ITA,FW,28.0,17.0,17,1431.0,15.9,9.0,3.0,12.0,4.0,5.0,5.0,6.0,0.0,6.5,2.6,3.0,5.6,38.0,83.0,123.0,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.6,0.16,0.35,Matches,Serie A,Sassuolo,
Marcus Pedersen,no NOR,DF,23.0,28.0,16,1613.0,17.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.1,1.2,43.0,31.0,90.0,0.0,0.11,0.11,0.0,0.11,0.01,0.06,0.06,0.01,0.06,Matches,Serie A,Sassuolo,
Ruan,br BRA,DF,24.0,26.0,16,1516.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,0.6,1.1,8.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,Serie A,Sassuolo,
Josh Doig,sct SCO,DF,21.0,16.0,15,1343.0,14.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.1,1.3,30.0,33.0,45.0,0.0,0.13,0.13,0.0,0.13,0.01,0.08,0.09,0.01,0.09,Matches,Serie A,Sassuolo,
Nedim Bajrami,al ALB,"MF,FW",24.0,28.0,15,1310.0,14.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,2.2,4.7,51.0,49.0,70.0,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33,Matches,Serie A,Sassuolo,
Matías Viña,uy URU,DF,25.0,15.0,13,1014.0,11.3,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,24.0,46.0,37.0,0.0,0.27,0.27,0.0,0.27,0.03,0.12,0.15,0.03,0.15,Matches,Serie A,Sassuolo,
Mattia Viti,it ITA,DF,21.0,15.0,12,979.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,36.0,13.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,Matches,Serie A,Sassuolo,
Uroš Račić,rs SRB,MF,25.0,22.0,8,820.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,5.0,37.0,11.0,0.11,0.11,0.22,0.11,0.22,0.09,0.03,0.13,0.09,0.13,Matches,Serie A,Sassuolo,
Grégoire Defrel,mq MTQ,"FW,MF",32.0,20.0,7,757.0,8.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.2,7.0,17.0,42.0,0.12,0.24,0.36,0.12,0.36,0.12,0.14,0.26,0.12,0.26,Matches,Serie A,Sassuolo,
Samu Castillejo,es ESP,"FW,MF",28.0,17.0,6,536.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.0,1.2,27.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.21,0.04,0.21,Matches,Serie A,Sassuolo,
Cristian Volpato,it ITA,"MF,FW",19.0,22.0,5,645.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.4,1.9,34.0,53.0,49.0,0.14,0.0,0.14,0.14,0.14,0.07,0.19,0.26,0.07,0.26,Matches,Serie A,Sassuolo,
Pedro Obiang,gq EQG,MF,31.0,8.0,5,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,4.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.15,0.01,0.15,Matches,Serie A,Sassuolo,
Luca Lipani,it ITA,MF,18.0,8.0,5,384.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,6.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Serie A,Sassuolo,
Marash Kumbulla,al ALB,DF,23.0,7.0,3,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Alessio Cragno,it ITA,GK,29.0,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Filippo Missori,it ITA,DF,19.0,8.0,2,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.11,0.1,0.11,Matches,Serie A,Sassuolo,
Maxime Lopez,fr FRA,MF,25.0,2.0,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,Serie A,Sassuolo,
Samuele Mulattieri,it ITA,"FW,MF",22.0,27.0,1,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,1.6,0.3,1.9,8.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.37,0.31,0.37,Matches,Serie A,Sassuolo,
Emil Ceide,no NOR,"FW,MF",21.0,11.0,0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,12.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17,Matches,Serie A,Sassuolo,
Kevin Miranda,it ITA,DF,20.0,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Justin Kumi,it ITA,FW,19.0,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Salim Abubakar,ne NIG,MF,20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Agustín Álvarez Martínez,uy URU,FW,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
Matteo Falasca,it ITA,DF,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Serie A,Sassuolo,
