Player,Nation,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Position_2,Position,League
Christopher Antwi-Adjei,GHA,Bochum,29,1994,13.5,48,3.55,31,9,2,3,3,0,4,0.30,4,0,0,0,0,0,Midfielder,Forward,Bundesliga
Houssem Aouar,ALG,Roma,25,1998,8.4,21,2.50,12,4,1,2,2,0,0,0.00,0,0,0,0,0,0,Forward,Midfielder,Serie A
Stredair Appuah,FRA,Nantes,19,2004,0.9,2,2.14,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Midfielder,Forward,Ligue 1
Mauro Arambarri,URU,Getafe,27,1995,3.8,9,2.39,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,,Midfielder,La Liga
Jon Aramburu,VEN,Real Sociedad,21,2002,6.0,4,0.66,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,Defender,La Liga
Asaf Arania,ISR,Darmstadt 98,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,Midfielder,Bundesliga
Julian Araujo,MEX,Las Palmas,21,2001,16.2,31,1.91,25,2,2,0,1,1,1,0.06,1,0,0,0,0,0,,Defender,La Liga
Player,,Squad,Ag,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,,Po,Bundesliga
Ronald Araújo,URU,Barcelona,24,1999,22.2,22,0.99,14,0,1,7,0,0,4,0.18,1,0,0,3,0,0,,Defender,La Liga
Oliver Arblaster,ENG,Sheffield Utd,19,2004,10.5,23,2.20,19,2,0,1,0,1,2,0.19,1,0,0,1,0,0,,Midfielder,Premier League
